question,answer,document_name,page_number,source
Summarize this document?,This document provides an overview of the geographical features of France.,GeographySummary.doc,23,The capital of France is Paris.
Summarize this document?,The document summarizes the life and works of Harper Lee.,LiteratureSummary.doc,45,Harper Lee is the author of 'To Kill a Mockingbird'.
Summarize this document?,An explanation of the chemical properties of water is provided in this document.,ChemistrySummary.doc,12,The chemical symbol for water is H2O.
Summarize this document?,This document discusses the fundamental principles of the speed of light.,PhysicsSummary.doc,5,"The speed of light is 299,792 km/s."
Summarize this document?,The document details the architectural design and construction of Burj Khalifa.,ArchitectureSummary.doc,18,The tallest building in the world is Burj Khalifa.
Summarize this document?,An in-depth analysis of Jane Austen's 'Pride and Prejudice' is presented in this document.,LiteratureSummary2.doc,32,Jane Austen is the author of 'Pride and Prejudice'.
Summarize this document?,This document covers the characteristics and significance of Jupiter in our solar system.,AstronomySummary.doc,10,The largest planet in our solar system is Jupiter.
Summarize this document?,"An exploration of Leonardo da Vinci's artistic contributions, focusing on the Mona Lisa.",ArtSummary.doc,7,Leonardo da Vinci painted the Mona Lisa.
Summarize this document?,The document outlines the history and political structure of Vatican City.,GeographySummary2.doc,2,The smallest country in the world is Vatican City.
Summarize this document?,This document elaborates on Albert Einstein's development of the theory of relativity.,PhysicsSummary2.doc,13,Albert Einstein developed the theory of relativity.
