text,entities
Barack Obama was the 44th President of the USA.,"Barack Obama:Person, USA:Location"
Elon Musk founded SpaceX.,"Elon Musk:Person, SpaceX:Organization"
The Eiffel Tower is in Paris.,"Eiffel Tower:Location, Paris:Location"
Microsoft was founded by Bill Gates.,"Microsoft:Organization, Bill Gates:Person"
The Great Wall of China is visible from space.,Great Wall of China:Location
Steve Jobs was the CEO of Apple.,"Steve Jobs:Person, Apple:Organization"
Mount Everest is the tallest mountain.,Mount Everest:Location
Albert Einstein was a theoretical physicist.,Albert Einstein:Person
Amazon is an e-commerce giant.,Amazon:Organization
New York is known as the Big Apple.,New York:Location
