question,answer,document_name,page_number,source
What is the capital of France?,Paris,Geography.doc,23,The capital of France is Paris.
Who is the author of 'To Kill a Mockingbird'?,Harper Lee,Literature.doc,45,Harper Lee is the author of 'To Kill a Mockingbird'.
What is the chemical symbol for water?,H2O,Chemistry.doc,12,The chemical symbol for water is H2O.
What is the speed of light?,"299,792 km/s",Physics.doc,5,"The speed of light is 299,792 km/s."
What is the tallest building in the world?,Burj Khalifa,Architecture.doc,18,The tallest building in the world is Burj Khalifa.
Who is the author of 'Pride and Prejudice'?,Jane Austen,Literature.doc,32,Jane Austen is the author of 'Pride and Prejudice'.
What is the largest planet in our solar system?,Jupiter,Astronomy.doc,10,The largest planet in our solar system is Jupiter.
Who painted the Mona Lisa?,Leonardo da Vinci,Art.doc,7,Leonardo da Vinci painted the Mona Lisa.
What is the smallest country in the world?,Vatican City,Geography.doc,2,The smallest country in the world is Vatican City.
Who developed the theory of relativity?,Albert Einstein,Physics.doc,13,Albert Einstein developed the theory of relativity.
